PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Title,Survived
1022,3,0,32.0,0,0,8.05,1,0
319,1,1,31.0,0,2,164.8667,2,1
925,3,1,25.0,1,2,23.45,3,1
653,3,0,21.0,0,0,8.4333,1,0
1190,1,0,30.0,0,0,45.5,1,0
1250,3,0,25.0,0,0,7.75,1,0
898,3,1,30.0,0,0,7.6292,2,1
1267,1,1,45.0,0,0,262.375,2,1
1110,1,1,50.0,1,1,211.5,3,1
856,3,1,18.0,0,1,9.35,3,1
95,3,0,59.0,0,0,7.25,1,0
878,3,0,19.0,0,0,7.8958,1,0
1287,1,1,18.0,1,0,60.0,3,1
429,3,0,25.0,0,0,7.75,1,0
247,3,1,25.0,0,0,7.775,2,0
622,1,0,42.0,1,0,52.5542,1,1
834,3,0,23.0,0,0,7.8542,1,0
1078,2,1,21.0,0,1,21.0,2,1
987,3,0,25.0,0,0,7.7958,1,0
98,1,0,23.0,0,1,63.3583,1,1
67,2,1,29.0,0,0,10.5,3,1
1027,3,0,24.0,0,0,7.8542,1,0
541,1,1,36.0,0,2,71.0,2,1
1129,3,0,20.0,0,0,7.225,1,0
288,3,0,22.0,0,0,7.8958,1,0
1164,1,1,26.0,1,0,136.7792,3,1
669,3,0,43.0,0,0,8.05,1,0
159,3,0,25.0,0,0,8.6625,1,0
1294,1,1,22.0,0,1,59.4,2,1
922,2,0,50.0,1,0,26.0,1,0
1249,3,0,25.0,0,0,7.8792,1,0
1244,2,0,18.0,0,0,73.5,1,0
813,2,0,35.0,0,0,10.5,1,0
1021,3,0,24.0,0,0,8.05,1,0
601,2,1,24.0,2,1,27.0,3,1
1034,1,0,61.0,1,3,262.375,1,0
279,3,0,7.0,4,1,29.125,4,0
341,2,0,2.0,1,1,26.0,4,1
1286,3,0,29.0,3,1,22.025,1,0
890,1,0,26.0,0,0,30.0,1,1
1067,2,1,15.0,0,2,39.0,2,1
219,1,1,32.0,0,0,76.2917,2,1
891,3,0,32.0,0,0,7.75,1,0
811,3,0,26.0,0,0,7.8875,1,0
1301,3,1,3.0,1,1,13.775,2,1
91,3,0,29.0,0,0,8.05,1,0
1042,1,1,23.0,0,1,83.1583,3,1
